CDTRAS,DSTRAS,QTTRAS,FLAGA,FLAGR,TMESTP
#,n°tess.sostenitore  ,     0.00,1,1,20110208084705837
°,pasto in più        ,     6.00,1,0,20120831173951656
0,Mezzo Proprio,     0.00,0,0,20030926153437843
1,Andata e Ritorno,    25.00,1,1,20050410184955145
A,Solo Andata,    15.00,1,0,20120528204010937
Ç,olio fin.sott.ne    ,    10.00,1,1,20170215170217375
G,Gita                ,    20.00,1,1,20070907174304000
J,n.tess.amici borghet,    20.00,1,1,20140329160214265
Ò,n°ricevuta          ,     0.00,0,0,20120123081447007
P,contributo diocesi  ,     5.00,1,1,20120922141717640
R,Solo Ritorno,    15.00,0,1,20120528204339921
Z,Lombarda,     0.00,1,1,20120123081454366
