ANNO,CDPELL,CDSOCMZ,CDALTC,QTALTC,TIMESTP
2007,03,000001019,0,0.00,20091125205536681
2007,03,000001028,0,0.00,20091125105648564
2007,03,000001048,0,0.00,20091125135439824
2007,03,000001199,0,0.00,20091125205112082
2007,03,000001222,0,0.00,20091125111831385
2007,03,000001268,0,0.00,20091125135344964
2007,03,000001313,0,0.00,20091125105604690
2007,03,000001482,0,0.00,20091125205331672
2007,03,000001795,0,0.00,20110104085220261
2007,03,000001808,0,0.00,20091125110625732
2007,03,000001812,0,0.00,20091125133056080
2007,03,000001814,0,0.00,20091125111740712
2007,03,000001820,0,0.00,20091125205446540
2007,03,000001853,0,0.00,20091125111402099
2007,03,000001856,0,0.00,20091125133143459
2007,03,000001857,0,0.00,20091125205612162
2007,03,000001859,0,0.00,20091125205204769
2007,03,000001860,0,0.00,20091125111528366
2007,03,000001863,0,0.00,20091125133415646
2007,03,000001864,0,0.00,20091125135205996
2007,03,000001866,0,0.00,20091125105824406
2007,03,000001867,0,0.00,20091125205420172
2007,03,000001872,0,0.00,20091125110021357
2007,03,000001873,0,0.00,20091125205347271
2007,03,000001874,0,0.00,20091125111618867
2007,03,000001880,0,0.00,20091125133333501
2007,03,000001976,0,0.00,20091125105933326
2007,03,000002141,0,0.00,20091125205220946
2007,03,000002161,0,0.00,20091125133242824
2007,03,000002339,0,0.00,20091125105742360
2007,03,000002378,0,0.00,20091125110105497
2007,03,000002383,0,0.00,20091125205522990
2007,03,000002589,0,0.00,20091125110154138
2007,03,000002773,0,0.00,20091125111446646
2007,03,000003970,0,0.00,20091125111234550
2007,06,000001046,0,0.00,20091123184236097
2007,06,000001047,0,0.00,20091123184307988
2007,06,000001215,0,0.00,20091123184424191
2007,06,000001228,Z,32.50,20091125105131311
2007,06,000001263,0,0.00,20091125105221718
2007,06,000004178,0,0.00,20091125105108514
2007,07,000002672,E,15.00,20080705155622559
2007,07,000002804,0,0.00,20101210110528184
2007,18,000002174,Z,445.00,20170124114723390
2008,10,000004178,0,0.00,20091125105103436
2008,74,000001977,0,0.00,20081110132839529
2008,75,000001642,0,0.00,20081111121419267
2008,80,000001215,0,0.00,20090120133351693
2009,01,000001948,0,0.00,20091117143526676
2009,04,000001222,0,0.00,20090829103112406
2009,05,000001270,0,0.00,20091201115125251
2009,17,000006198,E,15.00,20120314111755416
2009,20,000004178,0,0.00,20091015181431927
2009,20,000004352,E,15.00,20090918182139361
2009,21,000002438,E,15.00,20100514113418250
2010,07,000003051,0,0.00,20100720154056995
2010,09,000001021,0,0.00,20100703103101099
2010,09,000001524,0,0.00,20100703103201490
2010,09,000002330,0,0.00,20100623085837142
2010,09,000002557,0,0.00,20100623085906783
2010,09,000006356,0,0.00,20100703103438430
2010,10,000002103,0,0.00,20100709155018095
2010,11,000001143,0,0.00,20110721171504558
2010,11,000001210,E,15.00,20100717153541320
2010,11,000001514,0,0.00,20100717153650364
2010,11,000001515,0,0.00,20120925152922234
2010,11,000002103,0,0.00,20100520152146554
2010,11,000002107,0,0.00,20100717160439246
2010,11,000004405,0,0.00,20100717155431567
2010,11,000008518,0,0.00,20110514165303229
2010,15,000005139,E,0.00,20100901164710062
2010,18,000007873,0,0.00,20121004155441812
2010,21,000008649,0,0.00,20101108155700520
2010,22,000001291,0,0.00,20101113154739833
2010,22,000003016,E,15.00,20100914173912772
2010,22,000003485,0,0.00,20101111181311641
2010,22,000003566,E,15.00,20100914173932280
2010,22,000003880,0,0.00,20100916095640275
2010,23,000008642,0,0.00,20100916120237587
2010,30,000001047,0,0.00,20100731150303891
2010,30,000004626,E,15.00,20100512162110556
2010,30,000004627,E,15.00,20100512162100634
2010,47,000002927,0,0.00,20131205084247514
2010,47,000003020,0,0.00,20131205101326764
2010,47,000003050,0,0.00,20131205085013576
2010,47,000003072,0,0.00,20131205085052733
2010,47,000003124,0,0.00,20131205091210936
2010,47,000003129,0,0.00,20131205092320279
2010,47,000003171,0,0.00,20131205102907764
2010,47,000003173,0,0.00,20131205085823311
2010,47,000003193,0,0.00,20131205103947404
2010,47,000003219,0,0.00,20131205115155764
2010,47,000003220,0,0.00,20131205092126498
2010,47,000003227,0,0.00,20131205085434233
2010,47,000003294,0,0.00,20131205090059420
2010,47,000003309,0,0.00,20131205100843795
2010,47,000003650,0,0.00,20131205085034264
2010,47,000003653,0,0.00,20131205090350170
2010,47,000003665,0,0.00,20131205085118576
2010,47,000003668,0,0.00,20131205085740014
2010,47,000003669,0,0.00,20131205090020795
2010,47,000003809,0,0.00,20131205090219983
2010,47,000003811,0,0.00,20131205105953483
2010,47,000003812,0,0.00,20131205092434998
2010,47,000004020,0,0.00,20131205090242483
2010,47,000004021,0,0.00,20131205084331389
2010,47,000004314,0,0.00,20131205085803123
2010,47,000004315,0,0.00,20131205085613264
2010,47,000004335,0,0.00,20131205103841904
2010,47,000004554,0,0.00,20131205091136451
2010,47,000004557,0,0.00,20131205091337764
2010,47,000004558,0,0.00,20131205090930154
2010,47,000004559,0,0.00,20131205091455639
2010,47,000004690,0,0.00,20131205103903311
2010,47,000004702,0,0.00,20131205085959842
2010,47,000004745,0,0.00,20131205085413061
2010,47,000004785,0,0.00,20131205090303451
2010,47,000005942,0,0.00,20131205084954389
2010,47,000006452,0,0.00,20131205091052092
2010,47,000007599,0,0.00,20131205085555576
2010,47,000007663,0,0.00,20131205085650998
2010,47,000007685,0,0.00,20131205084400170
2010,47,000007686,0,0.00,20101118174111416
2010,47,000007722,0,0.00,20131205092519186
2010,47,000007732,0,0.00,20131205103209779
2010,47,000007785,0,0.00,20131205085841045
2011,09,000001418,0,0.00,20110623113325534
2011,10,000001419,0,0.00,20110721171604324
2011,10,000008786,0,0.00,20110714164954732
2011,10,000009024,0,0.00,20110709150608633
2011,10,000009159,E,15.00,20111112165320832
2011,11,000001088,0,0.00,20140726182926234
2011,11,000001199,0,0.00,20110722170920865
2011,11,000002024,0,0.00,20110721171921265
2011,11,000004257,0,0.00,20120717154651906
2011,11,000007955,0,0.00,20110722170559608
2011,17,000002555,E,0.00,20110514151656303
2011,17,000002631,0,0.00,20110510143001036
2011,18,000008942,E,15.00,20110527161822925
2011,18,000008946,*,15.00,20110527161759659
2011,20,000001234,0,0.00,20110820084043496
2011,20,000009145,*,15.00,20110820083957590
2011,22,000004859,0,0.00,20111029152749104
2011,29,000003735,E,0.00,20110502131138036
2011,29,000004616,0,0.00,20110728085423457
2011,29,000004971,0,0.00,20110728085241326
2011,41,000001019,0,0.00,20121211084838156
2011,41,000001028,0,0.00,20121211082303968
2011,41,000001048,0,0.00,20121211085318484
2011,41,000001199,0,0.00,20121211084124187
2011,41,000001222,0,0.00,20121211083632000
2011,41,000001247,0,0.00,20121211082930109
2011,41,000001268,0,0.00,20121211084045796
2011,41,000001313,0,0.00,20121211082237703
2011,41,000001630,0,0.00,20120204175011168
2011,41,000001706,0,0.00,20121211082443109
2011,41,000001808,0,0.00,20121211083046593
2011,41,000001812,0,0.00,20121211083715687
2011,41,000001814,0,0.00,20121211083548406
2011,41,000001820,0,0.00,20121211084605390
2011,41,000001853,0,0.00,20121211083228984
2011,41,000001856,0,0.00,20121211083756328
2011,41,000001857,0,0.00,20121211084930593
2011,41,000001859,0,0.00,20121211084250140
2011,41,000001860,0,0.00,20121211083352656
2011,41,000001863,0,0.00,20121211083926859
2011,41,000001864,0,0.00,20121211084008687
2011,41,000001866,0,0.00,20121211082524968
