ANNO,CDPELL,CDSOTSEZ,CDGRUPAR,DATAACC,ACCONTO,NRRICEV,TIMESTP
2007,01,08,000247,20070512,   670.00,259      ,20070702105530250
2007,02,01,000001,20070604,   100.00,378      ,20070901175928109
2007,02,03,000003,20070604,   100.00,385      ,20070901183711062
2007,02,03,000003,20070605,   200.00,359      ,20071003110040703
2007,02,03,000096,20070604,   300.00,388      ,20070903101502125
2007,02,11,000119,20070604,   150.00,362      ,20070903101430500
2007,02,14,000187,20070604,   200.00,375      ,20070903101358890
2007,02,17,000017,20070602,   100.00,345      ,20070903100556890
2007,02,17,000017,20070603,   100.00,351      ,20070903100642312
2007,02,17,000017,20070604,   200.00,378      ,20070903100707875
2007,02,17,000017,20070605,   100.00,352      ,20070903100736593
2007,02,17,000040,20070601,   100.00,379      ,20070903101239281
2007,02,17,000059,20070604,   150.00,363      ,20070903101538171
2007,02,17,000080,20070604,   500.00,380      ,20070903101713671
2007,02,17,000092,20070604,   130.00,375      ,20070903101615171
2007,02,17,000092,20070605,   100.00,384      ,20070903101646250
2007,02,17,000102,20070604,   200.00,386      ,20070901191322750
2007,02,17,000120,20070601,   200.00,344      ,20070903101807421
2007,02,17,000120,20070602,   100.00,366      ,20070903101842781
2007,02,17,000120,20070603,   100.00,367      ,20070903102131625
2007,02,17,000120,20070604,   100.00,368      ,20070903102202968
2007,02,17,000120,20070607,   100.00,357      ,20070903102237484
2007,02,17,000163,20070915,   200.00,988      ,20071002184935343
2007,02,17,000170,20070602,   200.00,369      ,20070903102453578
2007,02,17,000170,20070604,   100.00,355      ,20070903102529421
2007,02,17,000191,20070602,   100.00,370      ,20070903102400562
2007,02,17,000196,20070604,   200.00,373      ,20070903102656218
2007,02,17,000237,20070614,   400.00,443      ,20070901175545031
2007,02,17,000241,20070603,    70.00,206      ,20070901190954562
2007,02,17,000258,20070603,   200.00,419      ,20070901191046234
2007,02,17,000258,20070604,   300.00,440      ,20070901191202687
2007,02,17,000258,20070605,   100.00,354      ,20070901191251656
2007,02,17,000261,20070606,   200.00,301      ,20070903101039703
2007,02,17,000261,20070607,   200.00,387      ,20070903101132671
2007,02,17,000265,20070602,   100.00,342      ,20070903100509468
2007,02,17,000271,20070601,   100.00,341      ,20070903100308156
2007,02,17,000271,20070604,   100.00,346      ,20070903100207109
2007,02,17,000271,20070605,   100.00,347      ,20070903100339109
2007,02,17,000271,20070607,   100.00,348      ,20070901175643140
2007,02,17,000280,20070604,   300.00,339      ,20070903100059968
2007,02,17,000290,20070604,   200.00,364      ,20070903095942765
2007,02,17,000290,20070605,   200.00,360      ,20070903100013953
2007,02,17,000292,20070604,   200.00,377      ,20070903095500390
2007,02,17,000292,20070714,   200.00,617      ,20070715175432203
2007,02,17,000326,20070601,   100.00,365      ,20070903095326953
2007,02,17,000326,20070603,   300.00,372      ,20070903095358468
2007,02,17,000341,20070603,   100.00,356      ,20070903095100406
2007,02,17,000341,20070604,   200.00,340      ,20070903095247265
2007,02,17,000341,20070605,   300.00,343      ,20070903095029203
2007,02,17,000534,20070601,   100.00,353      ,20070903093856281
2007,02,17,000534,20070603,   100.00,383      ,20070903093944796
2007,02,17,000534,20070604,   500.00,338      ,20070903094032937
2007,02,17,000534,20070605,   100.00,349      ,20070903094133625
2007,02,17,000534,20070606,   500.00,389      ,20070903094244609
2007,02,17,000534,20070607,   500.00,390      ,20070903094518640
2007,02,17,000534,20070609,   100.00,350      ,20070903094701390
2007,02,17,000534,20070610,   200.00,371      ,20070903094919812
2007,02,17,000625,20070604,   100.00,381      ,20070903093610156
2007,02,19,000019,20070604,   100.00,358      ,20070903093511625
2007,02,19,000094,20070604,   200.00,382      ,20070903093405218
2007,04,01,000704,20070618,   210.00,455      ,20070702110754562
2007,04,01,000704,20070625,   210.00,483      ,20070702105848828
2007,04,04,000004,20070601,   720.00,315      ,20070826161326203
2007,04,05,000005,20070713,   335.00,592      ,20070713175445312
2007,04,05,000231,20070713,   335.00,592      ,20070713175509468
2007,04,17,000040,20040605,  1675.00,333      ,20070623114437235
2007,04,17,000040,20070618,   210.00,455      ,20080109105237676
2007,04,17,000080,20070716,   210.00,647      ,20070716210132093
2007,04,17,000113,20070612,   470.00,433      ,20070624155501469
2007,04,17,000113,20070713,   105.00,588      ,20070713175114218
2007,04,17,000120,20070625,   445.00,489      ,20070626170743671
2007,04,17,000122,20070612,   335.00,432      ,20070624154145922
2007,04,17,000170,20070619,    95.00,459      ,20070624161550860
2007,04,17,000191,20070612,   990.00,438      ,20070624155719079
2007,04,17,000191,20070713,   235.00,591      ,20070713175305046
2007,04,17,000196,20070616,  2055.00,450      ,20070624160918750
2007,04,17,000196,20071115,   335.00,banca    ,20071116151727354
2007,04,17,000237,20070519,   335.00,290      ,20070826160337812
2007,04,17,000237,20070713,   210.00,585      ,20070713112052984
2007,04,17,000258,20070612,   130.00,434      ,20070624155544844
2007,04,17,000258,20070613,   235.00,441      ,20070624155859297
2007,04,17,000258,20070713,   235.00,590      ,20070713175225156
2007,04,17,000261,20070616,   335.00,448      ,20070624160510313
2007,04,17,000261,20070618,   235.00,454      ,20070624161124954
2007,04,17,000261,20070713,   315.00,593      ,20070713175548281
2007,04,17,000265,20070604,   570.00,328      ,20070623114311750
2007,04,17,000265,20070614,   335.00,442      ,20070624160039719
2007,04,17,000265,20070715,   117.50,620      ,20070715175544468
2007,04,17,000271,20070713,   235.00,589      ,20070713175150906
2007,04,17,000280,20070605,  2345.00,336      ,20070623114519813
2007,04,17,000280,20070609,   235.00,414      ,20070623172855485
2007,04,17,000280,20070617,   222.50,898      ,20071116165913498
2007,04,17,000290,20070616,  1340.00,449      ,20070624160553344
2007,04,17,000292,20070616,  1200.00,452      ,20070624161007485
2007,04,17,000292,20070621,   142.50,471      ,20070624164730657
2007,04,17,000292,20070626,   335.00,494      ,20070626182808843
2007,04,17,000326,20070614,   440.00,445      ,20070624160237688
2007,04,17,000341,20070612,    92.50,429      ,20070624153121157
2007,04,17,000344,20070512,   335.00,261      ,20070623113434438
2007,04,17,000377,20070707,   235.00,538      ,20070826161928171
2007,04,17,000534,20070712,   420.00,594      ,20070713175731078
2007,04,17,000534,20070713,   210.00,595      ,20070713175623046
2007,04,17,000534,20070714,   315.00,570      ,20070826160525828
2007,04,17,000625,20070612,   670.00,436      ,20070624155635000
2007,04,17,000625,20070618,   630.00,456      ,20070624161255875
2007,04,17,000625,20070703,   235.00,531      ,20070712120635312
2007,04,17,000660,20070713,   210.00,596      ,20070713175804156
2007,04,17,000660,20070719,   335.00,676      ,20070826161516515
2007,05,01,000001,20070716,   235.00,638      ,20070828181814343
2007,05,17,000017,20070619,   620.00,463      ,20070821153605328
2007,05,17,000017,20070621,   335.00,466      ,20070821153300781
2007,05,17,000017,20070715,    80.00,643      ,20070821153042281
2007,05,17,000017,20070716,   105.00,644      ,20070716210323546
2007,05,17,000031,20070609,   687.50,405      ,20070623171643282
