ANNO,CDVIAGGI,CDSOTSEZ,CDGRUPAR,DATAACC,ACCONTO,NRRICEV,TMESTP
2007,10,01,000001,20071010,1000.00,50,20071108151522515
2007,10,01,000001,20071120,4083.00,51,20071108153152890
2007,21,17,000258,20070501,200.00,1,20071108162456562
2008,11,17,000120,20080311,470.00,261,20080403112246232
2008,12,17,000013,20080320,200.00,311,20080403113659998
2008,12,17,000013,20080502,330.00,464,20080529180525958
2008,12,17,000013,20080619,60.00,675,20081107111355249
2008,12,17,000040,20080306,455.00,223,20080403110757029
2008,12,17,000341,20080311,3595.00,255,20080403111602732
2008,12,17,000344,20080311,440.00,265,20080403112329029
2008,12,17,000344,20080920,1800.00,1244,20081108170649642
2008,12,17,000344,20081108,1630.00,1410,20081108171024761
2008,13,17,000013,20080318,1005.00,297,20080403113244295
2008,13,17,000013,20080327,455.00,335,20080403114915494
2008,13,17,000013,20080506,940.00,476,20080506184704005
2008,13,17,000013,20080529,735.00,580,20080529175614585
2008,13,17,000017,20080410,1200.00,377,20080412140359552
2008,13,17,000017,20080527,1255.00,573,20080527175617498
2008,13,17,000040,20080320,855.00,312,20080403113739489
2008,13,17,000040,20080513,735.00,507,20080513204940981
2008,13,17,000042,20080405,435.00,364,20080407113558932
2008,13,17,000107,20080405,3000.00,368,20080407110454850
2008,13,17,000107,20080708,3285.00,771,20080709103446712
2008,13,17,000137,20080404,8670.00,366,20080407113514825
2008,13,17,000137,20080405,300.00,367/A,20080425091223079
2008,13,17,000137,20090312,2155.00,172/09,20090312172236661
2008,13,17,000170,20080304,3825.00,214/A,20080403110853060
2008,13,17,000170,20080311,300.00,262,20080403112202310
2008,13,17,000170,20080522,4790.00,554,20080529205426021
2008,13,17,000191,20080410,400.00,379,20080412140238562
2008,13,17,000191,20080515,270.00,513/A,20080517092141445
2008,13,17,000196,20080307,810.00,246/A,20080403111506951
2008,13,17,000196,20080308,5997.50,245,20080403111426404
2008,13,17,000196,20080314,100.00,283,20080403112649842
2008,13,17,000196,20080315,200.00,282,20080403112559326
2008,13,17,000196,20080329,200.00,339,20080403115027732
2008,13,17,000196,20080330,100.00,340/A,20080403115122600
2008,13,17,000196,20080508,3467.50,485,20080509155240253
2008,13,17,000196,20080515,3420.00,515/A,20080517092314280
2008,13,17,000196,20080614,105.00,644,20080616082823966
2008,13,17,000237,20080527,3660.00,572,20080527175342673
2008,13,17,000237,20080530,6665.00,437/A,20080422171720488
2008,13,17,000251,20080327,740.00,336,20080403114949890
2008,13,17,000251,20080527,680.00,578,20080527185358870
2008,13,17,000258,20080506,250.00,480,20080506212833717
2008,13,17,000258,20080527,1750.00,568,20080527115809190
2008,13,17,000258,20081023,60.00,1369,20081023171135554
2008,13,17,000258,20081031,40.00,1393,20081031110023641
2008,13,17,000261,20080311,580.00,260,20080403112002295
2008,13,17,000261,20080320,1710.00,306,20080403113403342
