ANNO,CDPELL,CDBUS,FLAGAR,POSTO,CDSOCMZ,TMESTP
2007,04,1,A,002,000001118,20070609180148250
2007,04,1,A,004,000001375,20070609180209765
2007,04,1,A,005,000001502,20070609180357500
2007,04,1,A,006,000001254,20070609180412937
2007,04,1,A,009,000001360,20070609180456687
2007,04,1,A,010,000001362,20070609180508828
2007,04,1,A,011,000001361,20070609180518968
2007,04,1,A,014,000001154,20070609180621250
2007,04,1,A,015,000001390,20070609180630750
2007,04,1,A,016,000001224,20070609180639000
2007,04,1,A,017,000001503,20070609180648937
2007,04,1,A,018,000001313,20070609180655000
2007,04,1,A,019,000001407,20070609180705390
2007,04,1,A,020,000001053,20070609180711796
2007,04,1,A,021,000001373,20070609180724265
2007,04,1,A,025,000002666,20070609180810421
2007,04,1,A,026,000001646,20070609180819281
2007,04,1,A,028,000001207,20070609180843203
2007,04,1,A,029,000002660,20070609180904046
2007,04,1,A,032,000001088,20070609180938203
2007,04,1,A,033,000001147,20070609180949937
2007,04,1,A,034,000001504,20070609180959890
2007,04,1,A,035,000002663,20070609181108062
2007,04,1,A,036,000001967,20070609181115296
2007,04,1,A,037,000001455,20070609181123281
2007,04,1,A,038,000001443,20070609181127187
2007,04,1,A,040,000001255,20070609181140703
2007,04,1,A,041,000001028,20070609182711765
2007,04,1,A,042,000001221,20070609182730875
2007,04,1,A,043,000002679,20070609182838953
2007,04,1,R,002,000001118,20070609180148250
2007,04,1,R,004,000001375,20070609180209765
2007,04,1,R,005,000001502,20070609180357500
2007,04,1,R,006,000001254,20070609180412937
2007,04,1,R,009,000001360,20070609180456687
2007,04,1,R,010,000001362,20070609180508828
2007,04,1,R,011,000001361,20070609180518968
2007,04,1,R,014,000001154,20070609180621250
2007,04,1,R,015,000001390,20070609180630750
2007,04,1,R,016,000001224,20070609180639000
2007,04,1,R,017,000001503,20070609180648937
2007,04,1,R,018,000001313,20070609180655000
2007,04,1,R,019,000001407,20070609180705390
2007,04,1,R,020,000001053,20070609180711796
2007,04,1,R,021,000001373,20070609180724265
2007,04,1,R,025,000001646,20070609180819281
2007,04,1,R,027,000001207,20070609180843203
2007,04,1,R,028,000002660,20070609180904046
2007,04,1,R,031,000001147,20070609180949937
2007,04,1,R,032,000001504,20070609180959890
2007,04,1,R,033,000002663,20070609181108062
2007,04,1,R,034,000001967,20070609181115296
2007,04,1,R,035,000001455,20070609181123281
2007,04,1,R,036,000001443,20070609181127187
2007,04,1,R,038,000001255,20070609181140703
2007,04,1,R,039,000001221,20070609182730875
2007,04,1,R,040,000002679,20070609182838953
2007,04,2,A,001,000001091,20070609182902531
2007,04,2,A,002,000001369,20070609182907500
2007,04,2,A,004,000001257,20070609182922015
2007,04,2,A,005,000001355,20070609182927593
2007,04,2,A,006,000001364,20070609182935968
2007,04,2,A,008,000001961,20070609182951250
2007,04,2,A,009,000001262,20070609182958609
2007,04,2,A,011,000001789,20070609183018531
2007,04,2,A,012,000002230,20070609183025843
2007,04,2,A,013,000001585,20070609183229640
2007,04,2,A,018,000001601,20070609183301578
2007,04,2,A,019,000001595,20070609183313625
2007,04,2,A,021,000002681,20070609183421578
2007,04,2,A,022,000002059,20070609183431859
2007,04,2,A,023,000002060,20070609183436234
2007,04,2,A,024,000001586,20070609183513250
2007,04,2,A,025,000001569,20070609183515937
2007,04,2,A,026,000002117,20070609183521171
2007,04,2,A,027,000001593,20070609183529156
2007,04,2,A,033,000002676,20070609183555640
2007,04,2,A,034,000001572,20070609183603546
2007,04,2,A,036,000001596,20070609183616656
2007,04,2,A,037,000002051,20070609183639781
2007,04,2,A,038,000001578,20070609183647953
