CDCAME,NMPOSTI,CDPIANO,TMESTP
101  ,   4,1,20120616153552593
102  ,   3,1,20120616163719656
103  ,   4,1,20120616153602468
104  ,   4,1,20120616153615703
105  ,   3,1,20120616153721265
106  ,   3,1,20140612205828187
107  ,   4,1,20120616153729734
108  ,   4,1,20120616153734390
109  ,   4,1,20120616163828015
110  ,   0,1,20120616163831781
111  ,   4,1,20120616163855343
112  ,   4,1,20120616163907703
113  ,   4,1,20120616163915234
114  ,   4,1,20120616164002734
115  ,   3,1,20120616164016218
116  ,   4,1,20120616164032968
117  ,   4,1,20120616164046734
118  ,   3,1,20120616164102000
119  ,   4,1,20120616164111046
201  ,   4,2,20120616164136875
202  ,   3,2,20120616164145421
203  ,   4,2,20120616164155718
204  ,   4,2,20120616164211203
205  ,   3,2,20120616164235796
206  ,   4,2,20120616164242671
207  ,   4,2,20120616164250906
208  ,   4,2,20130612083550265
209  ,   4,2,20130612083555609
210  ,   4,2,20130612083600437
211  ,   2,2,20120616164838640
212  ,   4,2,20120616164842187
213  ,   4,2,20120616164845812
214  ,   4,2,20120616164851093
215  ,   4,2,20120616164854843
216  ,   3,2,20120616164859171
217  ,   4,2,20120616164902687
218  ,   4,2,20120616164906531
219  ,   3,2,20120616164911500
220  ,   4,2,20120616164916734
221  ,   2,I,20120616164920187
222  ,   2,I,20120616164925531
223  ,   2,I,20130612084356828
224  ,   4,I,20120616164933843
225  ,   4,I,20130612084409437
301  ,   1,3,20120616165139156
302  ,   1,3,20120616165150109
303  ,   1,3,20120616165159500
304  ,   1,3,20120616165206859
305  ,   2,3,20120616165215093
306  ,   2,3,20120616165222812
307  ,   2,3,20120616165232234
308  ,   3,3,20120616165246265
309  ,   3,3,20120616165256187
310  ,   3,3,20120616165321875
311  ,   4,3,20120705165138109
312  ,   4,3,20120705165157921
313  ,   4,3,20120719152136515
A01,   2,A,20040610212547235
A02,   2,A,20040610212555437
A03,   1,A,20110604114113109
