ANNO,CDPELL,MESE,GIORNO,DSPELL,ISBLOCK,TMESTP
2007,01,06,03,AZIENDALE/COMO,,20070624170717875
2007,02,05,01,CHERNOBYL,,20070624170431000
2007,03,01,01,RESPONSABILI GRUPPO,,20070624173321563
2007,04,06,17,MONZA 1°  TURNO,,20070624171030844
2007,05,07,01,MONZA 2°  TURNO,,20070624171216579
2007,06,01,01,MEMBRI DEL CONSIGLIO,,20070624172957250
2007,07,07,15,MONZA 3° TURNO,,20070624172615985
2007,08,07,29,MONZA 4° TURNO,,20070624172838891
2007,09,08,12,SARONNO,,20070624173831407
2007,10,08,26,BERGAMO/BRESCIA,,20070624173854360
2007,11,10,12,CONVEGNO PERSONALE,,20070624173913141
2007,12,06,22,JESOLO,,20070605164137218
2007,13,01,00,VOLON.DAL 67 IN POI,,20070624165823422
2007,14,08,06,PIAN DEI RESINELLI,,20070709141227328
2007,15,08,01,AMICI DI BORGHETTO,,20070828095349636
2007,16,09,00,GROPPARELLO,,20071025154253906
2007,17,12,08,IMPEGNO MENSILE,,20071209161534088
2007,18,01,07,MATTONI BORGHETTO,,20071115174436799
2007,19,01,07,BUONE AZIONI BORGHET,,20071201102831999
2007,20,00,00,IMPEGNO MENSILE,,20071209161458362
2008,01,06,07,CARAVAGGIO - BORGHET,,20080403142015748
2008,02,10,10,CONVEGNO PERSONALE,,20080403142134079
2008,03,01,01,RESPONSABILI  GRUPPO,,20080403142425319
2008,04,01,01,VOLONTARI 67 IN POI,,20080403142533882
2008,05,01,01,AMICI DI BORGHETTO,,20080403142602498
2008,06,01,01,IMPEGNO MENSILE BOR.,,20080403142630160
2008,07,01,01,MATTONI BORGHETTO,,20080403142649400
2008,08,01,01,BUONE AZIONI BORGHET,,20080403142715277
2008,09,01,01,OFF.VARIE BORGHETTO,,20080403142737773
2008,10,01,01,MEMBRI DEL CONSIGLIO,,20080403143342273
2008,71,04,26,CHERNOBYL,,20080403141325284
2008,72,06,07,BORGHETTO BRESCIA,,20080403141451422
2008,73,06,22,MONZA/VARESE 1°TURNO,,20080403141505104
2008,74,07,06,MONZA - 2°TURNO,,20080403141540045
2008,75,07,20,MONZA - 3° TURNO,,20080403141614895
2008,76,08,03,MONZA - 4° TURNO,,20080403141643546
2008,77,08,17,BORGHETTO - SARONNO,,20080403141743209
2008,78,08,31,BORGHETTO -BG / SO,,20080403141839881
2008,79,09,13,ALPE MOTTA,,20080906174234597
2008,80,00,10,CONVEGNO BORGHETTO,,20081008091332315
2008,81,01,01,COLLEGHI BANCA ROMA,,20081028143325090
2009,01,04,29,CHERNOBYL,,20090402145538920
2009,02,06,07,BORGHETTO - BRESCIA,,20090108174316490
2009,03,06,21,MONZA/VARESE 1^TURNO,,20090108174334161
2009,04,07,05,MONZA - 2^ TURNO,,20090108174507379
2009,05,07,19,MONZA - 3^ TURNO,,20090108174616644
2009,06,08,02,MONZA - 4^ TURNO,,20090108174659284
2009,07,08,16,BORGHETTO-SARONNO,,20090108174917236
2009,08,08,30,BORGHETTO - BG/ SO,,20090108175113736
2009,09,10,16,CONVEGNO PERSONALE,,20090108175153626
