CDPELLEG,DTPELLEG,DSPELLEG,TPMEZZO,CDLUOGO,ARCHIVIO,FILLER,TIMESTP,NMPOSTI,BLOCCO
10,20080406,LOURDES,,1,0,,20080401160400322,,1
11,20080422,LOURDES,,1,0,,20080401160403618,,1
12,20080507,LOURDES,,1,0,,20071213110116071,,0
13,20080529,LOURDES,,1,0,,20080227175603075,,0
14,20080714,LOURDES,,1,0,,20071213110146337,,0
15,20080730,LOURDES,,1,0,,20071213110200477,,0
16,20080914,LOURDES,,1,0,,20071213110217227,,0
17,20080929,LOURDES,,1,0,,20071213110232961,,0
18,20081012,LOURDES,,1,0,,20071213110300571,,0
19,20081016,LOURDES,,1,0,,20071213110313258,,0
21,20080522,LORETO,,2,0,,20071213115222270,,0
22,20080821,LORETO,,2,0,,20071213110551101,,0
23,20081016,LORETO,,2,0,,20071220111605638,,0
40,20080321,BANNEUX,,4,1,,20080325110218027,,0
61,20080306,CHIANCIANO,,6,1,,20080311094928349,,1
71,20080501,BORGHETTO CHERNOBYL,,6,0,,20080109104514263,,0
72,20080608,BORGHETTO BS - AZ,,6,0,,20080109104538134,,0
73,20080622,BORGHETTO MONZA VARESE,,6,0,,20080109104555084,,0
74,20080706,BORGHETTO MONZA MA/RHO,,6,0,,20080109104617221,,0
75,20080720,BORGHETTO MONZA,,6,0,,20080109104636281,,0
76,20080803,BORGHETTO MONZA,,6,0,,20080109104653247,,0
77,20080817,BORGHETTO SARONNO,,6,0,,20080109104707916,,0
78,20080831,BORGHETTO BG - SONDRIO,,6,0,,20080109104734334,,0
90,20080209,LOURDES,,1,1,,20080212103554265,,1
91,20080622,LOURDES,,1,0,,20080128162042983,,0
92,20080425,ASSISI GIOVANI,,6,0,,20080328120427034,,0
94,20080923,LOURDES,,1,0,,20080328120427034,,0
99,20081027,LOURDES,,1,0,,20071213110510148,,0
