CDPERM,DSPERM,QTPERM,FLAGST,TMESTP
0,Nessun servizio     ,     0.00,0,20070907174232343
1,Volontari 1 sett.   ,   135.00,1,20150411142427359
2,Ospiti completo     ,   470.00,0,20160314172606671
3,Volontari completo  ,   270.00,0,20160314172652156
4,ospite 1 set.monza  ,   245.00,1,20160314172709515
5,Accompagnatore,   470.00,0,20160314172629390
6,Sst. completo       ,   480.00,0,20150417141150796
7,Sst 1 settimana     ,   250.00,1,20150417143117000
8,Personale completo  ,   340.00,0,20150417142643468
9,Personale 1 sett.   ,   180.00,1,20150417142656515
E,sez.extra Lombardia ,   500.00,0,20150417141225937
F,sex extraLomb- 1 set,   250.00,1,20150417141234859
G,extra pers.completo ,   500.00,0,20150417141241203
H,extra pers 1 sett   ,   250.00,1,20150417141258953
I,accompagnatore 1 set,   245.00,1,20160401163030500
L,                    ,     0.00,ÿ,20140508153935968
