ANNO,CDPELL,FLSETT,CDCAME,NMCAME,CDPIANO,CDSOCMZ,TMESTP
2007,04,1,A01,1,,000001050,20070609175555602
2007,04,1,A01,2,,000001235,20070609175609151
2007,04,2,A01,1,,000001050,20070609175555602
2007,04,2,A01,2,,000001235,20070609175609151
2007,05,1,A01,1,,000001050,20070623095523407
2007,05,2,A01,1,,000001050,20070623095523407
2007,07,1,A01,1,,000001050,20070704203607750
2007,07,2,A01,1,,000001050,20070704203607750
2007,08,1,A01,1,,000001471,20070724185649828
2008,73,1,A01,1,,000001050,20080613161153612
2008,73,2,A01,1,,000001050,20080613161153612
2008,74,1,A02,1,,000001050,20080627131220985
2008,74,2,A02,1,,000001050,20080627131220985
2008,75,1,A01,1,,000001050,20080709155905878
2008,75,2,A01,1,,000001050,20080709155905878
2008,76,1,A01,1,,000001050,20080725155755341
2008,76,2,A01,1,,000001050,20080725155755357
2009,03,1,A01,1,,000001050,20090611211205950
2009,03,1,A02,1,,000001235,20090611211214768
2009,03,2,A01,1,,000001050,20090611211205950
2009,03,2,A02,1,,000001235,20090611211214768
2009,04,1,A01,1,,000001050,20090624190242543
2009,04,2,A01,1,,000001050,20090624190242543
2009,05,1,A01,1,,000001050,20090709210445058
2009,05,2,A01,1,,000001050,20090709210445058
2010,07,1,A01,1,,000001050,20100527165628246
2010,07,2,A01,1,,000001050,20100527165628246
2010,09,1,A01,1,,000001050,20100623091501743
2010,09,2,A01,1,,000001050,20100623091501743
2010,10,1,A01,1,,000001050,20100709155325661
2010,10,2,A01,1,,000001050,20100709155325676
2010,11,1,A01,1,,000001050,20100723182108017
2010,11,2,A01,1,,000001050,20100723182108017
2011,08,1,A02,1,,000001050,20110609145749875
2011,08,2,A02,1,,000001050,20110609145749875
2011,09,1,A01,1,,000001050,20110621101613211
2011,09,2,A01,1,,000001050,20110621101613211
2011,09,2,A02,1,,000008223,20110621101439773
2011,10,1,A01,1,,000001050,20110707140734399
2011,10,2,A01,1,,000001050,20110707140734399
2011,11,1,A02,1,,000001047,20110722170834708
2011,11,1,A02,2,,000001695,20110722170837333
2011,11,2,A02,1,,000001047,20110722170834708
2011,11,2,A02,2,,000001695,20110722170837333
2012,20,1,111,1,,000009732,20120616183006125
2012,20,1,111,2,,000001560,20120616183026390
2012,20,1,111,3,,000007799,20120616183034203
2012,20,1,111,4,,000001750,20120616183058953
2012,20,1,A01,1,,000001050,20120608155231843
2012,20,1,A02,1,,000001230,20120608161124578
2012,20,1,A02,2,,000009937,20120608161132687
2012,20,2,111,1,,000009732,20120616183006156
2012,20,2,111,2,,000001560,20120616183026390
2012,20,2,111,3,,000001750,20120616183058953
2012,20,2,111,4,,000001618,20120616183633453
2012,20,2,A01,1,,000001050,20120608155231843
2012,20,2,A02,1,,000001230,20120608161124578
2012,20,2,A02,2,,000009937,20120608161132687
2012,21,1,111,1,,000001334,20120619184850875
2012,21,1,111,2,,000001386,20120619184854234
2012,21,1,111,3,,000001225,20120619184856984
2012,21,1,111,4,,000001122,20120619184900812
2012,21,1,112,1,,000009733,20120619184912906
2012,21,1,112,2,,000009734,20120619184915281
2012,21,1,112,3,,000009735,20120619184918718
2012,21,1,114,1,,000001028,20120619184940781
2012,21,1,114,2,,000001358,20120619184943359
2012,21,1,114,3,,000001429,20120619184946156
2012,21,1,117,1,,000009711,20120619184524250
2012,21,1,117,2,,000009714,20120619184529843
2012,21,1,117,3,,000002123,20120619184535265
2012,21,1,117,4,,000001643,20120619184543968
2012,21,1,118,2,,000004242,20120619184602015
2012,21,1,119,1,,000009139,20120619184620031
2012,21,1,119,2,,000009944,20120619184625734
2012,21,1,119,3,,000009943,20120619184629250
2012,21,2,111,1,,000001334,20120619184850875
2012,21,2,111,2,,000001386,20120619184854234
2012,21,2,111,3,,000001122,20120619184900812
2012,21,2,111,4,,000002309,20120619184906031
2012,21,2,112,1,,000009733,20120619184912906
2012,21,2,112,2,,000009734,20120619184915281
2012,21,2,112,3,,000009735,20120619184918718
2012,21,2,114,1,,000001028,20120619184940781
2012,21,2,114,2,,000001358,20120619184943359
2012,21,2,114,3,,000001429,20120619184946156
2012,21,2,117,1,,000009711,20120619184524250
2012,21,2,117,2,,000009714,20120619184529843
2012,21,2,117,3,,000002123,20120619184535265
2012,21,2,118,2,,000004242,20120619184602015
2012,21,2,119,1,,000009139,20120619184620031
2012,21,2,119,2,,000009944,20120619184625734
2012,21,2,119,3,,000009943,20120619184629250
2012,22,1,101,1,,000002312,20120705161606281
2012,22,1,101,2,,000001966,20120705161616500
2012,22,1,102,1,,000003882,20120705161624906
2012,22,1,102,2,,000001337,20120705161634484
2012,22,1,102,3,,000001367,20120705161641781
2012,22,1,103,1,,000002675,20120705161652531
2012,22,1,103,2,,000007907,20120705161714140
2012,22,1,103,3,,000009979,20120705161734984
2012,22,1,103,4,,000001322,20120705162041437
2012,22,1,104,1,,000002107,20120705162108328
2012,22,1,104,2,,000009947,20120705162119859
2012,22,1,104,3,,000002123,20120705162127484
2012,22,1,104,4,,000006269,20120705162138171
2012,22,1,105,1,,000001126,20120705162150328
2012,22,1,105,2,,000002084,20120705162205187
