CDRIDU,DSRIDU,QTRIDU,TMESTP
0,Nessuna Riduzione,     0.00,20030918173703305
1,Fino a 25 - 1 Sett.,    25.00,20070504085357578
2,Fino a 25 - 2 Sett.,    50.00,20070504085404687
3,Gratuità,     0.00,20031001115401625
4,nessuna riduzione,     0.00,20051012100826406
5,Riduzione Volontario,    30.00,20061004181144296
6,Rid.ne vol. 1 sett.,    15.00,20060405173801024
7,riduzione auto,    20.00,20061004181135723
8,riduzione famiglia  ,     0.00,20100416151714331
9,sconto treno loreto ,    20.00,20110401160327027
K,prelevamento        ,     0.00,20111002175641859
Z,pasto in più treno  ,    15.00,20110528085735268
