ANNO,CDPELL,CDSOCMZ,FLSETT,CDCTRA,QTCTRA,CDCPER,QTCPER,CDCRID,QTCRID,CDCALT,QTCALT,CDSERV,TMESTP
2007,01,000001702,1,0,0.00,1,0.00,0,0.00,0,0.00,02,20070418172511718
2007,02,000001028,E,0,0.00,3,250.00,0,0.00,0,0.00,02,20070613103031609
2007,02,000001029,E,0,0.00,3,200.00,0,0.00,0,0.00,02,20070613115018296
2007,02,000001032,E,0,0.00,3,500.00,0,0.00,0,0.00,02,20070613151226609
2007,02,000001048,E,0,0.00,3,500.00,0,0.00,0,0.00,02,20070613154334328
2007,02,000001050,E,0,0.00,3,400.00,0,0.00,0,0.00,02,20070901181213109
2007,02,000001051,E,0,0.00,3,250.00,0,0.00,0,0.00,02,20070613102955875
2007,02,000001225,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613144633031
2007,02,000001260,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613112753515
2007,02,000001264,E,0,0.00,3,300.00,0,0.00,0,0.00,02,20070613145020250
2007,02,000001455,1,0,0.00,1,100.00,0,0.00,0,0.00,02,20070901175725968
2007,02,000001471,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613150841156
2007,02,000001585,E,0,0.00,3,200.00,0,0.00,0,0.00,02,20070613151643718
2007,02,000001633,E,0,0.00,3,130.00,0,0.00,0,0.00,02,20070613160819343
2007,02,000001639,E,0,0.00,3,0.00,0,0.00,0,0.00,02,20070613163240828
2007,02,000001642,E,0,0.00,3,200.00,0,0.00,0,0.00,02,20070613144902812
2007,02,000001644,E,0,0.00,3,0.00,0,0.00,0,0.00,02,20070613155405515
2007,02,000001708,1,0,0.00,4,105.00,0,0.00,Q,15.00,02,20070901174856171
2007,02,000001726,E,0,0.00,3,500.00,0,0.00,0,0.00,02,20070613104303359
2007,02,000001731,E,0,0.00,3,210.00,0,10.00,0,0.00,02,20070901185602500
2007,02,000001749,E,0,0.00,3,300.00,0,0.00,0,0.00,02,20070613104521734
2007,02,000001879,E,0,0.00,3,200.00,0,0.00,0,0.00,02,20070613152640359
2007,02,000001935,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613143656718
2007,02,000001937,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070903102312968
2007,02,000001950,E,0,0.00,3,200.00,0,0.00,0,0.00,02,20070613144522890
2007,02,000001952,1,0,0.00,1,105.00,0,0.00,0,0.00,02,20080613110614945
2007,02,000001953,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613105253984
2007,02,000001954,E,0,0.00,3,200.00,0,0.00,0,0.00,02,20070613145157468
2007,02,000001971,E,0,0.00,3,200.00,0,0.00,0,0.00,02,20070613113919750
2007,02,000001974,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613151019875
2007,02,000002002,E,0,0.00,3,150.00,0,0.00,0,0.00,02,20070613114104656
2007,02,000002003,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613111547937
2007,02,000002007,E,0,0.00,3,220.00,0,0.00,0,0.00,02,20090615154041828
2007,02,000002009,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613151749765
2007,02,000002010,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613112859562
2007,02,000002011,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613111759812
2007,02,000002062,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613115135500
2007,02,000002092,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613151859937
2007,02,000002237,E,0,0.00,3,100.00,0,0.00,0,0.00,02,20070613112209500
2007,02,000002239,1,0,0.00,1,100.00,0,0.00,0,0.00,02,20070613112536328
